symbol,prediction,Beta,HML_2,HML_3,HML_5,STR_1,STR_6,UMD_2_12,UMD_2_6,UMD_7_12,VOL_0.5,VOL_1,VOL_2,VOL_3,VOL_5,country_Other,country_US,sectorKey_communication-services,sectorKey_consumer-cyclical,sectorKey_consumer-defensive,sectorKey_energy,sectorKey_financial-services,sectorKey_healthcare,sectorKey_technology,industryKey_auto-manufacturers,industryKey_banks-diversified,industryKey_consumer-electronics,industryKey_credit-services,industryKey_discount-stores,industryKey_drug-manufacturers-general,industryKey_entertainment,industryKey_internet-content-information,industryKey_internet-retail,industryKey_oil-gas-integrated,industryKey_semiconductor-equipment-materials,industryKey_semiconductors,industryKey_software-infrastructure
TSLA,0.7306,-0.0267,0.0018,-0.032,0.0193,0.1297,0.0027,-0.0012,0.0162,0.0641,0.1064,0.0806,0.0229,0.0238,0.0028,0.0002,0.0005,-0.0009,-0.0018,0.0,-0.0,0.0019,-0.0003,-0.0011,-0.0021,0.0001,-0.0001,0.0011,-0.0,0.0,0.0002,-0.0012,-0.0006,-0.0001,-0.0,-0.0026,0.0001
META,0.3813,-0.0232,-0.006,-0.0259,0.0119,0.1819,-0.0129,0.0009,-0.0077,-0.0466,-0.0602,0.0415,0.0019,-0.0039,0.0005,0.0002,0.0001,-0.002,-0.0001,0.0,-0.0002,0.0016,-0.001,-0.0002,0.0001,-0.0,-0.0003,0.0005,-0.0,0.0002,-0.0001,0.0068,-0.0005,-0.0003,-0.0,-0.0028,-0.0001
LLY,0.3565,0.0712,-0.0052,-0.0107,0.0241,-0.0345,0.01,0.0023,0.0189,-0.0341,-0.0359,0.0232,0.0017,-0.0077,-0.0001,0.0005,0.0006,0.0016,-0.0007,0.0001,-0.0001,0.0004,0.0012,0.0008,0.0002,0.0,-0.0001,0.0005,-0.0,0.0054,-0.0001,-0.0007,-0.0012,-0.0001,0.0001,-0.002,0.0
AVGO,0.3324,-0.0525,-0.0027,-0.0457,-0.0154,-0.0637,0.0098,-0.0027,0.0036,-0.0512,0.1113,0.0694,0.0391,-0.0111,0.0052,0.0006,0.0005,0.0021,-0.0004,0.0001,-0.0001,0.0005,-0.0003,-0.002,0.0003,-0.0,-0.0001,0.0006,-0.0,0.0,0.0,-0.0003,-0.001,-0.0002,0.0,0.0116,0.0001
MA,0.2784,0.0317,0.0051,0.0051,0.0057,0.1357,-0.0011,0.0012,-0.0182,-0.0321,-0.0601,-0.0756,-0.0158,-0.0104,-0.0078,0.0003,0.0003,-0.0003,-0.0002,0.0,-0.0001,-0.0064,-0.0003,-0.0,0.0001,-0.0,-0.0002,-0.001,-0.0,0.0003,0.0,-0.0019,-0.0008,-0.0001,0.0,-0.0015,-0.0001
V,0.2772,0.0336,0.0055,0.0053,0.0083,0.1375,-0.0107,0.0011,-0.0172,-0.0365,-0.0563,-0.0746,-0.0147,-0.0103,-0.008,0.0003,0.0003,-0.0003,-0.0002,0.0,-0.0001,-0.0064,-0.0009,0.0,0.0001,-0.0,-0.0002,-0.0013,-0.0,0.0003,0.0,-0.0019,-0.0008,-0.0001,0.0,-0.0016,-0.0001
ORCL,0.2538,-0.0549,-0.0108,-0.0021,-0.01,-0.0587,-0.0185,0.0028,-0.07,-0.0661,0.1451,0.0815,0.0059,-0.0127,-0.0029,0.0002,0.0005,0.0025,-0.0003,0.0,-0.0001,0.0005,-0.0005,-0.0006,0.0002,-0.0,-0.0002,0.0006,0.0,0.0,0.0001,-0.0,-0.0008,-0.0002,-0.0,-0.0027,-0.0008
AAPL,0.2372,-0.0516,0.0036,-0.0034,0.0112,0.0346,0.0072,0.0016,0.0188,-0.0235,-0.0487,-0.0287,-0.0063,-0.0032,0.0001,0.0003,0.0005,0.0006,-0.0003,0.0,-0.0002,0.0011,-0.0002,0.0006,0.0001,0.0,-0.0014,0.0005,-0.0,0.0002,-0.0,-0.0008,-0.0006,-0.0003,0.0,-0.0017,0.0001
NFLX,0.1955,0.0311,-0.0015,-0.002,0.0019,0.0295,-0.0213,-0.0001,-0.0334,-0.0589,-0.042,-0.0039,-0.0054,-0.0043,-0.0048,0.0001,0.0006,-0.0123,-0.0,0.0,-0.0001,0.0007,-0.0017,-0.0005,0.0001,-0.0,-0.0002,0.0004,-0.0,0.0001,0.0007,-0.0007,-0.0011,-0.0001,0.0001,-0.0025,0.0
XOM,0.1882,0.0449,0.0031,0.0113,-0.0109,-0.026,0.0069,0.0026,-0.0003,-0.0286,-0.054,-0.0776,-0.0078,-0.0017,-0.0027,0.0003,0.0006,0.0014,-0.0004,0.0,0.0002,0.0001,-0.0003,0.001,0.0001,0.0,-0.0001,0.0003,-0.0,0.0002,-0.0,-0.0003,-0.0013,0.0014,0.0,-0.0017,0.0006
NVDA,0.1671,-0.0564,-0.0217,-0.0235,0.0418,-0.0557,0.003,-0.0023,-0.0049,-0.0665,-0.065,0.0518,0.0258,-0.0107,0.0115,0.0003,0.0006,0.0019,0.0001,0.0,-0.0002,0.0005,-0.0009,-0.0005,0.0003,0.0,-0.0003,0.0005,-0.0,-0.0002,-0.0001,-0.0005,-0.0007,-0.0002,0.0001,0.0122,0.0
ASML,0.1594,-0.082,-0.0048,-0.004,0.0005,-0.0358,0.025,0.0009,0.0149,-0.0264,-0.0584,0.0272,0.002,-0.0128,-0.0062,-0.0005,-0.0045,0.0013,-0.0005,0.0,-0.0002,0.0005,-0.0004,0.0013,0.0001,0.0,-0.0002,0.0005,-0.0,-0.0007,-0.0001,-0.0002,-0.0008,-0.0002,-0.0006,-0.0029,0.0002
JPM,0.1432,0.0467,0.009,-0.0038,-0.0095,-0.0475,0.0024,0.0014,0.0036,-0.056,-0.0487,-0.0665,-0.0088,-0.0012,-0.0045,0.0001,0.001,0.0035,-0.0006,0.0,-0.0,-0.0001,-0.0005,0.0001,0.0001,-0.0005,-0.0002,0.0003,-0.0,-0.0001,-0.0001,-0.0003,-0.0013,-0.0001,0.0,-0.0018,0.0
GOOG,0.1432,0.0227,-0.0088,-0.0167,-0.0205,-0.0685,0.0075,0.0077,0.0255,-0.0262,-0.0642,-0.03,-0.0073,0.0063,0.0013,0.0002,0.0004,-0.0108,-0.0003,0.0,-0.0001,0.0005,-0.0006,0.0003,0.0001,0.0,0.0001,0.0004,-0.0,-0.0003,-0.0,0.0006,-0.0013,-0.0002,0.0002,-0.0019,0.0001
MSFT,0.1302,0.036,0.0077,-0.0088,-0.0039,-0.0034,-0.0165,0.0021,-0.0188,-0.0472,-0.0495,-0.0774,-0.0058,-0.0034,-0.0063,0.0003,0.0005,0.0011,-0.0004,0.0,-0.0001,0.0006,-0.0009,0.0008,0.0002,-0.0,-0.0002,0.0004,-0.0,-0.0,0.0001,-0.001,-0.0012,-0.0001,0.0,-0.0018,0.0005
WMT,0.0999,0.0502,-0.0077,-0.0067,-0.0084,-0.0681,0.0051,0.0032,0.0062,-0.047,-0.0532,-0.0805,-0.0087,-0.0046,-0.0059,0.0002,0.0005,0.0022,-0.0005,-0.0005,-0.0001,0.0,-0.0005,0.0006,0.0001,0.0,-0.0002,0.0003,0.0001,0.0002,-0.0001,-0.0002,-0.0015,-0.0001,0.0,-0.0017,-0.0
TSM,0.0949,-0.07,-0.0235,-0.016,-0.0009,-0.0324,0.0082,-0.0021,0.0056,-0.0638,-0.0555,0.0273,-0.0023,-0.0119,-0.0012,-0.0007,-0.0052,0.0014,-0.0004,0.0,-0.0003,0.0005,-0.0003,0.0002,0.0001,0.0,-0.0001,0.0005,-0.0,-0.0007,-0.0002,-0.0001,-0.0009,-0.0002,0.0001,0.0126,0.0002
JNJ,0.0939,0.0425,0.0029,-0.0003,-0.0071,-0.0736,0.0053,0.0003,0.0195,-0.0576,-0.0598,-0.0777,-0.0218,-0.0056,-0.0021,0.0003,0.0006,0.0021,-0.0004,0.0,-0.0,0.0002,0.0016,-0.0002,0.0001,0.0,-0.0001,0.0004,-0.0,0.0005,-0.0001,-0.0002,-0.0013,-0.0001,0.0,-0.0014,0.0
AMZN,0.0877,-0.0558,-0.0053,-0.0043,0.0152,-0.0685,-0.028,-0.0039,-0.0082,-0.0523,-0.0749,0.0455,-0.0031,-0.0044,-0.0044,0.0002,0.0005,0.0016,0.001,0.0,-0.0002,0.0005,-0.001,0.0,0.0002,0.0,-0.0001,0.0004,-0.0,-0.0002,-0.0001,-0.0001,0.0132,-0.0003,0.0001,-0.0023,-0.0002
GOOGL,0.0792,-0.028,-0.0097,-0.0168,-0.0229,-0.0647,0.0071,0.0064,0.0241,-0.0312,-0.066,-0.0252,-0.0066,0.0025,-0.001,0.0002,0.0004,-0.0128,-0.0002,0.0,-0.0001,0.0004,-0.0007,0.0004,0.0001,0.0,0.0001,0.0004,-0.0,-0.0001,-0.0,-0.0009,-0.001,-0.0003,0.0002,-0.0019,0.0
