AssetsGrowth,Beta,CFF_MC,CFGrowth,CFI_CFO,CFI_EV,CFOTA,CF_CE,CF_EV,CF_IC,CXChange,CX_EV,CX_Rev,CashGrowth,CashRatio,Cash_Eq,Cash_MC,Close,CurrentRatio,DFL,DIO,DPO,DSO,D_E,DebtGrowth,EBIT_EV,EPS,EV,EVAdj,EVB,EVB_YIELD,EVE,EVE_YIELD,EVS,EVS_YIELD,Eq_EV,EquityGrowth,FCFGrowth,FCFMargin,FCFOTA,FCF_CE,FCF_EV,FCF_IC,GMGNGrowth,GPGrowth,GPOTA,GP_CE,GP_EV,GP_IC,GrossMargin,HML_2,HML_3,HML_5,ICGrowth,InterestGrowth,Interest_Book,Interest_MC,Interest_Yield,MC,MC_EV,NCAV_Eq,NCAV_MC,NIMargin,NI_EQ,NI_MC,NMGNGrowth,NWCGrowth,NetDebt_Eq,NetDebt_MC,NetGrowth,NetMargin,Net_EQ,OMGNGrowth,OpIncGrowth,OpInc_D,OpMargin,OtherEx_Rev,PB,PB_YIELD,PE,PE_YIELD,PS,PS_YIELD,R&DGrowth,R&D_Rev,ROA,ROCE,ROE,ROIC,ROTA,RevGrowth,RevOTA,Rev_CE,Rev_IC,Rev_NWC,SG&AGrowth,SG&A_Rev,STR_1,STR_6,TAGrowth,TA_MC,UMD_2_12,UMD_2_6,UMD_7_12,country_Other,country_US,industryKey_beverages-brewers,industryKey_consumer-electronics,industryKey_diagnostics-research,industryKey_drug-manufacturers-general,industryKey_engineering-construction,industryKey_information-technology-services,industryKey_insurance-diversified,industryKey_medical-devices,industryKey_software-application,industryKey_travel-services,sectorKey_consumer-cyclical,sectorKey_consumer-defensive,sectorKey_financial-services,sectorKey_healthcare,sectorKey_industrials,sectorKey_technology
0.0,1.1256,-0.028904,0.0,-0.446554,-0.023107,2.039716,0.320819,0.051744,0.419444,0.0,-0.003894,-0.011657,-0.034423499999999996,0.45047,0.357087,0.04296,285.8399963378906,1.233251,0.999767,0.0,22.30004,62.12811,0.14569005974960078,-0.020201999999999998,0.050801,10.698117,179822090143.0,184390140143.0,3.901331,0.123364,3.8965450366375043,0.040641,2.993623,0.334043,0.122933,0.0,0.0,0.924747,1.886221,0.296677,0.04785,0.38788,-0.005465,0.109267,4.211823,0.662462,0.106847,0.866113,0.31986,-0.0168,-0.8787,-0.9211,0.0,-0.142617,-0.0000989999998382835,-0.000012,-0.000233,183749149143.0,1.021839,-0.13105551927225048,-0.015812,0.119442,0.323423,0.040038,-0.032494281363555956,-0.125651,-0.20519892702500117,-0.02486,-0.01368657269601525,0.111653,0.302332,-0.02061853906245361,0.05099489526409487,2.816557,0.152079,0.0,8.312148,0.120306,26.718719,0.037427,2.983217,0.335209,0.0536405,0.0,0.198191,0.31497,0.311098,0.411797,2.002529,0.0,13.167718,2.0711,2.707789,3.4069127300685755,0.18723499999999998,0.167781,-0.0618,-0.0791,0.0,0.025457,-0.2185,0.0163,-0.231,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.084249,1.2845,-0.026605,-0.001767,-0.275346,-0.012315,2.285375,0.286563,0.044724,0.359969,-0.264382,-0.00248,-0.008238,0.146419,0.502504,0.352223,0.042648,332.2799987792969,1.298344,1.027152,0.0,20.960855,60.864115,0.11873779586773839,-0.053137,0.041369,10.760487,207056402385.0,212956975385.0,4.155639,0.124244,4.101779772513246,0.033095,3.321653,0.301055,0.124086,0.162251,0.019604,0.944545,2.158639,0.270671,0.042244,0.340007,0.010964,0.052284,4.974607,0.623765,0.097351,0.783549,0.323367,0.0354,-0.1819,-0.8753,0.163164,-0.006555999999999999,0.009063875894112478,0.001098,0.026434,212191221385.0,1.024799,-0.05464879458463147,-0.00662,0.114043,0.276336,0.034457,-0.04004229860076918,0.314509,-0.2276856615840011,-0.027808,-0.0008159999094436111,0.107181,0.25971,-0.09627520328196705,-0.05945895892498685,2.797648,0.137415,0.016583,8.258769,0.121083,30.879642,0.032384,3.309709,0.302141,0.1430235,0.0,0.171916,0.265069,0.26745,0.332969,2.113958,0.040871,15.383794,1.928969,2.423097,3.174159475842096,0.050725,0.169369,0.134,-0.0851,-0.109069,0.01964,0.3329,0.2441,0.0713,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.096227,1.5571,-0.022715,-0.068385,0.106272,0.003402,3.057789,0.339186,0.032008,0.442063,-0.18552,-0.001578,-0.018548,0.286417,0.95043,0.474755,0.034375,497.010009765625,1.343352,1.024022,0.0,48.68735,41.82389,0.24455792269747803,-0.119361,0.02915,11.825708,224365594482.0,228127594482.0,7.660687,0.072407,4.451714910802683,0.02332,11.753702,0.08508,0.073621,0.175575,-0.061385,0.950698,2.907035,0.322464,0.03043,0.420269,0.001921,0.104527,7.14196,0.792224,0.074761,1.03251,0.878716,-0.0602,-0.011,-0.8306,0.175575,-0.006555999999999999,0.009443859621933951,0.000684,0.023459,228127594482.0,1.016767,-0.13141739847079326,-0.009543,0.280241,0.329289,0.023843,0.03526768849557513,2.263825,-0.22582763542300935,-0.016491,0.14082903211355066,0.279664,0.328611,-0.010780791165054354,0.09039783133593801,1.629902,0.342625,0.008656,13.810848,0.072407,42.027928,0.023794,11.753702,0.08508,0.162705,0.178938,0.223312,0.3089,0.328611,0.402591,2.784757,0.102408,8.127722,0.90157,1.175021,2.6228320497352167,0.09326,0.348498,0.1249,0.0198,0.031533,0.010468,0.5021,0.126,0.334,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.049143,0.8621,-0.06942,-0.049937,-0.242427,-0.02114,0.484324,0.211893,0.087201,0.247722,-0.103024,-0.027598,-0.081962,-0.125667,0.379397,0.187674,0.065354,2.81,0.932815,0.952232,113.455505,219.679265,24.49442,0.046126641237488476,0.294369,0.073516,0.172624,42611298312.0,44794226155.0,1.715881,0.352011,3.5274051275676204,0.058813,2.969805,0.336722,0.36395,0.045277,-0.023167,0.683506,0.331039,0.14483,0.059602,0.169319,-0.034583,0.113331,0.921782,0.403281,0.165963,0.471472,0.492878,-0.0331,-0.289,0.6086,0.04539,-0.074358,-0.010651798571903308,-0.003709,-0.050165,44534566000.0,1.045135,-0.20374149956216622,-0.071441,0.142876,0.136671,0.04839,0.042890848278510064,11.002087,-0.14029729381807346,-0.049016,0.20132522725582383,0.181384,0.173506,-0.07463967674077308,0.0670108372438561,4.52606,0.218328,-0.026164,2.871645,0.348233,16.278115,0.061432,2.952589,0.338686,0.0536405,0.0,0.126145,0.17864,0.176411,0.208846,0.408319,0.153214,1.870203,0.818218,0.956569,-4.069827704009436,0.156521,0.300713,-0.1151,0.0965,0.135049,0.181096,-0.2317,-0.1897,-0.0518,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.287255,1.6469,-0.023037,0.132362,-0.26828,-0.009878,13.921147,0.36316,0.036821,0.475689,0.0,-0.004011,-0.018548,0.046664,1.012161,1.233435,0.095475,159.34,1.659196,1.904642,0.0,30.220175,7.54528,0.27856335760883705,-0.015805,0.014391,7.238671,97716080000.0,105483080000.0,5.109377,0.077406,5.157480750968917,0.011513,10.636592,0.094015,0.083558,0.468525,0.132362,1.0,13.921147,0.36316,0.036821,0.475689,0.008215,0.190435,29.44086,0.768022,0.07787,1.006001,0.828275,0.0999,0.1465,-0.8753,0.468525,2.876344,0.08818964099804812,0.006835,0.474967,105483080000.0,1.079485,0.475343872333594,0.038196,0.169567,0.205952,0.015942,0.9795870281822385,-0.047072,-0.8464822862841167,-0.073633,1.2120730328112308,0.483211,0.586895,-0.31489979282156333,-0.19599280334330704,0.658854,0.15307,0.119593,12.918932,0.077406,22.012329,0.045429,10.636592,0.094015,0.146471,0.173641,0.073529,0.141935,0.586895,0.185915,5.44086,0.180736,35.544803,0.927256,1.214574,1.2013835867203921,0.536091,0.38197,-0.0079,-0.2475,0.07722,0.002645,0.315,0.2505,0.0516,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
-0.029495,0.7995,-0.054776,-0.084352,-0.087964,-0.005565,2.513094,0.23577,0.063264,0.400909,0.117986,-0.002152,-0.014305,0.388666,0.33868,1.237066,0.040763,177.3300018310547,0.872123,0.889349,73.28616,65.937615,74.958225,2.4432480388131403,-0.061418,0.037492,2.718556,361012093246.0,361012093246.0,2.679901,0.0288,4.2001480900798605,0.029993,6.64627,0.15046,0.028697,-0.39956,-0.090152,0.965979,2.427597,0.227749,0.061112,0.38727,-0.108394,-0.165773,3.730524,0.349985,0.093911,0.595124,0.624158,-0.0954,-0.6707,-1.1344,-0.201648,-0.176125,-0.16184057608235888,-0.005356,-0.124418,314406093246.0,0.870902,-2.872679908324775,-0.290427,0.092051,0.480908,0.015903,-0.5366325161457961,3.501395,2.2082792029162146,0.148117,-0.5610069269955605,0.088737,0.467731,-0.22909864819499207,-0.27703183377956575,0.22792,0.249181,-0.003295,30.348078,0.032951,65.22948,0.01533,5.788249,0.172764,0.178955,0.141298,0.100474,0.139723,0.465251,0.23759,1.489327,-0.064354,5.976893,0.560731,0.953483,-3.1132729339724388,-0.156488,0.236975,-0.0016,-0.2028,0.067418,0.028905,0.1153,0.2135,-0.081,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.00279,1.1979,-0.038125,0.084094,-0.072723,-0.003184,3.385745,0.411725,0.043783,0.557825,0.270115,-0.002469,-0.025105,0.051397,0.75,0.433848,0.034053,380.0799865722656,1.106791,0.991706,0.0,63.89617,42.81085,0.32402703598728155,-0.00856,0.034064,10.097665,177554673676.0,179017673676.0,6.590012,0.078489,4.296000021849054,0.027251,10.167992,0.098348,0.079136,-0.050416,0.074688,0.943608,3.194816,0.388507,0.041314,0.526368,-0.005465,0.109267,6.669978,0.811105,0.086254,1.098925,0.877031,0.2269,-0.2945,-0.7602,-0.067989,-0.46875,-0.003629992028022771,-0.000285,-0.008363,179017673676.0,1.00824,-0.2890338162305143,-0.023003,0.272998,0.342068,0.026849,-0.11544638668330869,-0.500288,-0.10393377946795998,-0.008172,-0.01368657269601525,0.270135,0.338481,-0.057659046141919704,0.05099489526409487,1.31621,0.346359,0.009599,12.740565,0.078489,37.640386,0.026567,10.167992,0.098348,0.175984,0.169658,0.22448,0.320324,0.338481,0.43399,2.634125,0.115363,7.605184,0.924831,1.253007,3.7035575943728345,0.144469,0.351414,-0.1048,-0.3325,0.094045,0.012932,-0.2661,0.2061,-0.3916,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.169974,1.0,-0.008342,0.482923,-0.008163,-0.000339,13.243243,0.425558,0.041529,0.616906,-0.012716,-0.000303,-0.002977,0.156212,1.206067,1.730576,0.116499,121.46,1.862748,1.109091,0.0,33.35881,8.69138,0.4095016560423202,-0.031844,0.022895,2.783824,75311800000.0,82592800000.0,5.149819,0.067318,4.693191314313981,0.018316,9.833647,0.101692,0.073826,0.164398,0.482923,1.0,13.243243,0.425558,0.041529,0.616906,0.017904,0.426799,26.640927,0.856079,0.083542,1.241007,0.821526,0.3494,-0.9577,-0.9211,0.164398,-0.142617,0.033446763580186875,0.002252,0.098361,82592800000.0,1.096678,0.7235130663178234,0.053068,0.189451,0.286187,0.019266,-0.032494281363555956,0.142028,-1.0842494647902887,-0.088155,-0.01368657269601525,0.225384,0.340468,1.1886827816054675,1.6431119862665295,0.807774,0.225146,0.123943,14.85482,0.067318,43.630639,0.02292,9.833647,0.101692,0.054035,0.178831,0.117907,0.234615,0.340468,0.340108,7.301158,0.401702,32.428571,1.04206,1.510612,1.0288744966866508,0.219585,0.293606,0.034,-0.1568,-0.39627,0.003136,-0.2897,0.1974,-0.4068,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
-0.01008,0.796,-0.04261,-0.090383,-0.181609,-0.009306,0.62478,0.16253,0.051244,0.218764,-0.057294,-0.009504,-0.040707,-0.007708,0.656595,0.277217,0.056751,101.58999633789062,1.628511,0.957079,117.707025,87.846375,51.99133,0.46329088537375124,-0.067873,0.044724,3.930272,186969753540.0,186969753540.0,2.511751,0.197385,4.023859824942277,0.035779,4.283091,0.233476,0.196214,0.024691,-0.097595,0.814529,0.508901,0.132386,0.041739,0.17819,-0.014328,-0.0011,1.59837,0.4158,0.131096,0.559663,0.561496,0.1524,-0.2787,-0.7219,-0.010819,-0.234694,-0.010221821993459597,-0.002093,-0.044846,179204753540.0,0.958469,-0.3295267670990243,-0.068687,0.152219,0.180051,0.037079,-0.032494281363555956,-0.125651,0.20426849520762566,0.042108,-0.01951476135528712,0.158821,0.187861,-0.02061853906245361,-0.007477930306190551,0.472003,0.191556,0.046114,4.884827,0.204716,25.848082,0.038688,4.10521,0.243593,0.053246,0.066158,0.112335,0.141851,0.188982,0.190931,0.545289,0.013418,2.846625,0.740521,0.996735,2.2058990069884135,-0.006711,0.257668,0.0274,-0.0208,0.086356,0.085573,-0.1214,0.0495,-0.1629,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
-0.016443,0.9365,-0.036433,-0.242146,-0.431483,-0.015418,0.434166,0.122295,0.035733,0.155782,0.239167,-0.010837,-0.0549,-0.284267,0.525901,0.18856,0.037399,111.27999877929688,1.637887,0.962556,133.41042,87.214195,59.742835,0.39235829278848394,-0.11786,0.03188,3.272156,203201717865.0,203201717865.0,2.775449,0.191076,4.362240649033942,0.025504,5.066237,0.197385,0.189974,0.052254,-0.351743,0.696736,0.302499,0.085207,0.024896,0.108539,-0.017186,-0.096977,1.323487,0.372796,0.108926,0.474877,0.551846,0.0639,0.0716,-0.3997,0.064252,-0.328,-0.006527953636004109,-0.001295,-0.038901,194628717865.0,0.95781,-0.2990486994643354,-0.060202,0.132918,0.137307,0.027392,-0.10141805261757857,-0.093066,0.2146274014823383,0.042897,-0.17365390782755535,0.142686,0.147397,-0.1562158580974123,-0.22344110256798072,0.414512,0.16151,0.049016,5.041803,0.198342,34.008163,0.029405,4.852495,0.20608,-0.0509,0.068339,0.08848,0.109107,0.148253,0.138983,0.387348,-0.081186,2.39829,0.675543,0.860523,2.2186055514466583,-0.026583,0.272981,0.073,-0.1617,0.090577,0.085928,0.1676,0.2383,-0.0571,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.008446,1.1991,-0.034521,-0.024741,-0.198536,-0.008994,0.83889,0.129289,0.045303,0.209234,-0.229293,-0.006874,-0.007344,0.075069,0.215409,0.569628,0.091987,97.78,1.054566,0.869272,0.0,59.52712,64.59259,0.9864279361369378,-0.01747,0.051546,0.394921,15362705020.0,15362705020.0,1.367592,0.155162,3.881991206509656,0.041237,1.068453,0.935933,0.144007,-0.106725,0.023865,0.848272,0.711606,0.109673,0.038429,0.177487,0.019568,0.114969,1.139603,0.175635,0.061543,0.284237,0.065756,-0.2884,-0.4826,-2.2007,-0.085787,0.166827,-0.053805035475154424,-0.008693,-0.150388,13699858020.0,0.891761,-1.0232960260527275,-0.195635,0.011873,0.071619,0.012461,-0.7613885933850184,-0.237462,0.6313699922122585,0.108867,-0.7496479580078523,0.003848,0.023213,0.033489739508755244,0.12983293566236573,0.287785,0.055075,0.0,6.192496,0.161486,247.593762,0.004039,0.952804,1.049534,0.1430235,0.0,0.070494,0.147106,0.025011,0.238067,0.954494,0.09357,17.33088,2.67103,4.322623,4.500851411332283,0.042536,0.010681,-0.0887,-0.2287,-0.142906,0.060559,0.0578,0.1231,-0.0582,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,1.0968,-0.033174,0.0,-0.257622,-0.007847,0.613658,0.151309,0.030459,0.186868,0.0,-0.006756,-0.042494,-0.034423499999999996,0.565825,0.198492,0.025461,137.86,2.030091,0.9557,121.19971,67.722465,74.886685,0.5007666915219872,-0.020201999999999998,0.037563,4.18,43074000000.0,43074000000.0,4.089821,0.12316,4.198245161441427,0.030051,6.290012,0.158982,0.12316,0.0,0.0,0.778201,0.477549,0.117749,0.023703,0.145421,-0.005465,0.109267,1.740879,0.429247,0.086409,0.530124,0.543516,-0.0605,-0.9577,-1.1073,0.0,-0.142617,-0.014137529051280023,-0.001813,-0.046354,41358000000.0,0.960162,-0.2698519481601712,-0.035036,0.175701,0.226805,0.029092,-0.032494281363555956,-0.125651,0.31807732011104717,0.041491,-0.01368657269601525,0.183119,0.236381,-0.02061853906245361,0.05099489526409487,0.584326,0.236273,0.0,7.796041,0.12827,32.980861,0.030321,6.039428,0.165579,0.0536405,0.068195,0.153627,0.186599,0.236381,0.230452,0.756782,0.0,3.202993,0.789759,0.97536,1.9853814112575143,0.18723499999999998,0.239048,0.0422,-0.0908,0.0,0.051695,0.0677,0.1389,-0.0625,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.047597,1.0161,-0.085624,0.304355,-0.233334,-0.030446,0.691977,0.26966,0.130483,0.308338,0.001339,-0.031703,-0.075299,0.157235,0.398394,0.206868,0.086798,2.45,0.891672,0.960181,84.359165,215.47118,26.28219,0.04367111732765625,-0.007888,0.099125,0.188777,36400421805.0,39046724954.0,1.427762,0.423181,3.2292344602041343,0.0793,2.375117,0.421032,0.447293,0.049862,0.444666,0.757031,0.523848,0.204141,0.09878,0.233422,0.029127,0.121695,1.132563,0.441354,0.213562,0.504659,0.507234,0.253,0.0993,0.4381,0.04793,-0.028379,-0.009857840339972555,-0.004136,-0.04147,38804570000.0,1.066047,-0.20047249355414226,-0.084679,0.150855,0.150089,0.063911,0.0026899967558257306,0.776936,-0.16182577038628437,-0.068196,0.09274597881853344,0.181872,0.180948,0.07826507442521417,0.17445080658821613,5.361943,0.235433,-0.022125,2.38333,0.419581,12.978295,0.077052,2.360387,0.423659,0.1430235,0.0,0.141527,0.204854,0.18364,0.234238,0.52568,0.089947,2.23282,0.870118,0.994923,-3.58154984908791,0.065349,0.293927,0.02,0.02,-0.087063,0.189742,-0.1174,-0.008,-0.1103,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.021933,1.389,-0.02186,0.35061,-0.174944,-0.007096,0.7701,0.19345,0.040559,0.253505,0.024055,-0.006821,-0.043612,0.509972,0.99189,0.272027,0.037373,143.73,2.611354,0.968436,111.73234,45.299785,68.96164,0.45233706221235237,-0.012279,0.0309,4.189189,43689080000.0,43689080000.0,4.059192,0.133786,4.393437064660799,0.02472,6.393836,0.156401,0.133786,0.101791,0.443683,0.831828,0.640591,0.160917,0.033738,0.210873,-0.067004,-0.069049,1.505867,0.378275,0.07931,0.495708,0.507098,-0.0662,-0.1056,-0.7541,-0.004415,-0.413333,-0.007527928898869537,-0.001034,-0.032593,42544080000.0,0.973792,-0.12490992884823666,-0.017206,0.156769,0.183268,0.025179,-0.008993878747251757,0.347418,0.1946622661357835,0.026913,-0.011163768109009042,0.181472,0.212147,-0.16307820761091635,-0.16488880869262168,0.493601,0.197571,0.0,7.278713,0.137387,34.309742,0.029146,6.226267,0.16061,0.029979,0.070394,0.12543,0.14738,0.212147,0.193133,0.586701,-0.00219,2.969578,0.745961,0.977539,1.6999087991267705,-0.001833,0.239134,-0.0061,-0.3036,0.076239,0.054085,0.0087,0.2612,-0.2002,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,1.0765,-0.040824,0.0,-0.183003,-0.007992,2.595478,0.614525,0.043672,0.830423,0.0,-0.003828,-0.027155,-0.034423499999999996,0.313699,0.953268,0.017806,166.1699981689453,0.879356,0.999113,8.075625,104.685285,26.087645,1.6889221590726782,-0.020201999999999998,0.042701,6.1132,2797037313337.0,2797037313337.0,7.929122,0.018116,4.07010933933667,0.034161,7.093174,0.140981,0.018116,0.0,0.0,0.912338,2.367954,0.560655,0.039843,0.757626,-0.005465,0.109267,3.628795,0.859181,0.061058,1.161032,0.433096,-0.3199,-1.7533,-2.9473,0.0,-0.142617,-0.0020919984740758904,-0.000039,-0.000887,2712861313337.0,0.969905,-1.9061811528439165,-0.06144,0.241632,1.880376,0.035122,-0.032494281363555956,-0.125651,1.2809765953955192,0.031028,-0.01368657269601525,0.253096,1.969589,-0.02061853906245361,0.05099489526409487,0.901547,0.302887,0.0,53.53768,0.018678,27.182162,0.036789,6.879708,0.145355,0.0536405,0.066571,0.338583,0.600871,1.969589,0.811972,2.537811,0.0,8.378726,1.983811,2.680771,-3.7489603565803753,0.18723499999999998,0.063637,-0.1002,-0.1665,0.0,0.017348,-0.1536,0.0602,-0.2017,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.064058,0.9093,-0.02725,0.114161,-0.812631,-0.11593,2.039716,0.079517,0.142661,0.257995,0.219512,-0.001869,-0.005201,-0.089525,0.45047,0.538079,0.25089,68.61,1.106791,0.957079,8.075625,63.89617,452.59562,0.209364122973857,0.000222,0.044724,3.802868,22973806114.0,26748806114.0,0.557383,0.48305,4.023859824942277,0.0,2.782566,0.359381,0.525816,-0.050008,0.112884,0.986897,1.886221,0.078475,0.140791,0.254614,-0.005465,0.109267,3.628795,0.429247,0.086409,0.569531,0.0,-0.7317,-1.7879,-1.3931,-0.040844,-0.057554,-0.010843787482696892,-0.005056,-0.044846,25907806114.0,1.127711,-1.7873382382802527,-1.353607,0.123749,0.092067,0.045917,-0.3558924231149615,-0.125651,-0.3076250673886191,-0.145709,-0.3092768645675641,0.149381,0.114233,-0.02061853906245361,0.05099489526409487,0.807774,0.0,-0.009882,2.144686,0.466269,18.041648,0.055427,2.69508,0.371046,0.0536405,0.0,0.135543,0.186599,0.118874,0.26366,2.002529,0.077328,7.605184,0.200313,0.649922,1.9853814112575143,0.217949,0.009882,0.0377,-0.4809,0.0,0.0,0.5144,0.539,-0.0159,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
